N_HIDDEN,HIDDEN_SIZE,LEARNING_RATE,EPOCHS_TO_CONVERGE,TEST_ERROR,SECONDS_RUNTIME
1,32,0.05,41,4.810000000000003,352.141708612442
1,64,0.05,48,4.420000000000002,499.8345715999603
1,128,0.05,43,22.509999999999998,753.9123816490173
1,256,0.05,41,52.75000000000001,1250.4551010131836
2,32,0.05,28,5.330000000000002,421.8968505859375
2,64,0.05,46,13.170000000000003,594.0818135738373
2,128,0.05,48,4.459999999999997,894.1407082080841
2,256,0.05,34,12.819999999999999,1636.8799188137054
3,32,0.05,40,5.34,481.33459281921387
3,64,0.05,29,4.579999999999995,682.0736515522003
3,128,0.05,38,13.080000000000002,1083.8662693500519
3,256,0.05,49,20.609999999999996,2084.842199087143
4,32,0.05,33,4.9300000000000015,556.9636714458466
4,64,0.05,37,4.369999999999996,753.069671869278
4,128,0.05,47,3.8599999999999968,1228.7193837165833
4,256,0.05,48,3.4699999999999953,2506.0974440574646
